country,measure,number_of_arrivals,median_time_in_port_days
Poland,Liquefied natural gas carriers,26,1.24
Portugal,All ships,13353,1.06
Portugal,Passenger ship,1573,..
Portugal,Wet bulk,2435,0.85
Portugal,Container ship,3480,0.8
Portugal,Dry breakbulk,3710,1.63
Portugal,Dry bulk,532,2.83
Portugal,Roll-on/ roll-off ship,1098,..
Portugal,Liquefied petroleum gas carriers,477,0.96
Portugal,Liquefied natural gas carriers,48,1.05
Qatar,All ships,5707,1.11
Qatar,Passenger ship,78,..
Qatar,Wet bulk,1407,1.14
Qatar,Container ship,1374,0.64
Qatar,Dry breakbulk,315,1.88
Qatar,Dry bulk,830,2.73
Qatar,Roll-on/ roll-off ship,267,..
Qatar,Liquefied petroleum gas carriers,344,1.21
Qatar,Liquefied natural gas carriers,1092,1.07
Republic of Moldova,All ships,107,3.32
Republic of Moldova,Passenger ship,..,..
Republic of Moldova,Wet bulk,12,2.1
Republic of Moldova,Container ship,..,..
Republic of Moldova,Dry breakbulk,95,3.44
Republic of Moldova,Dry bulk,..,..
Republic of Moldova,Roll-on/ roll-off ship,..,..
Republic of Moldova,Liquefied petroleum gas carriers,..,..
Republic of Moldova,Liquefied natural gas carriers,..,..
Romania,All ships,5163,1.91
Romania,Passenger ship,..,..
Romania,Wet bulk,749,1.7
Romania,Container ship,543,1
Romania,Dry breakbulk,3003,1.79
Romania,Dry bulk,715,5.41
Romania,Roll-on/ roll-off ship,99,..
Romania,Liquefied petroleum gas carriers,54,2.94
Romania,Liquefied natural gas carriers,..,..
Russian Federation,All ships,81187,1.33
Russian Federation,Passenger ship,12976,..
Russian Federation,Wet bulk,23399,1.04
Russian Federation,Container ship,3886,1.4
Russian Federation,Dry breakbulk,30312,1.56
Russian Federation,Dry bulk,6498,2.5
Russian Federation,Roll-on/ roll-off ship,3432,..
Russian Federation,Liquefied petroleum gas carriers,423,1.34
Russian Federation,Liquefied natural gas carriers,261,1.1
Saint Kitts and Nevis,All ships,865,0.32
Saint Kitts and Nevis,Passenger ship,430,..
Saint Kitts and Nevis,Wet bulk,76,0.51
Saint Kitts and Nevis,Container ship,..,..
Saint Kitts and Nevis,Dry breakbulk,195,0.24
Saint Kitts and Nevis,Dry bulk,..,..
Saint Kitts and Nevis,Roll-on/ roll-off ship,164,..
Saint Kitts and Nevis,Liquefied petroleum gas carriers,..,..
Saint Kitts and Nevis,Liquefied natural gas carriers,..,..
Saint Lucia,All ships,1191,0.55
Saint Lucia,Passenger ship,417,..
Saint Lucia,Wet bulk,335,0.77
Saint Lucia,Container ship,137,0.4
Saint Lucia,Dry breakbulk,264,0.46
Saint Lucia,Dry bulk,..,..
Saint Lucia,Roll-on/ roll-off ship,38,..
Saint Lucia,Liquefied petroleum gas carriers,..,..
Saint Lucia,Liquefied natural gas carriers,..,..
Saint Vincent and the Grenadines,All ships,2186,0.3
Saint Vincent and the Grenadines,Passenger ship,1860,..
Saint Vincent and the Grenadines,Wet bulk,..,..
Saint Vincent and the Grenadines,Container ship,114,0.28
Saint Vincent and the Grenadines,Dry breakbulk,189,0.31
Saint Vincent and the Grenadines,Dry bulk,..,..
Saint Vincent and the Grenadines,Roll-on/ roll-off ship,23,..
Saint Vincent and the Grenadines,Liquefied petroleum gas carriers,..,..
Saint Vincent and the Grenadines,Liquefied natural gas carriers,..,..
Samoa,All ships,171,0.57
Samoa,Passenger ship,11,..
Samoa,Wet bulk,..,..
Samoa,Container ship,90,0.72
Samoa,Dry breakbulk,70,0.38
Samoa,Dry bulk,..,..
Samoa,Roll-on/ roll-off ship,..,..
Samoa,Liquefied petroleum gas carriers,..,..
Samoa,Liquefied natural gas carriers,..,..
Saudi Arabia,All ships,16951,1.29
Saudi Arabia,Passenger ship,2813,..
Saudi Arabia,Wet bulk,6525,1.46
Saudi Arabia,Container ship,3669,0.76
Saudi Arabia,Dry breakbulk,835,1.7
Saudi Arabia,Dry bulk,1464,4.48
Saudi Arabia,Roll-on/ roll-off ship,1208,..
Saudi Arabia,Liquefied petroleum gas carriers,437,1.53
Saudi Arabia,Liquefied natural gas carriers,..,..
Senegal,All ships,2129,1.47
Senegal,Passenger ship,217,..
Senegal,Wet bulk,265,2.79
Senegal,Container ship,543,0.64
Senegal,Dry breakbulk,454,1.56
Senegal,Dry bulk,353,5.45
Senegal,Roll-on/ roll-off ship,247,..
Senegal,Liquefied petroleum gas carriers,50,2.01
Senegal,Liquefied natural gas carriers,..,..
Seychelles,All ships,384,2.1
Seychelles,Passenger ship,49,..
Seychelles,Wet bulk,34,1.48
Seychelles,Container ship,133,1.41
Seychelles,Dry breakbulk,168,5.72
Seychelles,Dry bulk,..,..
Seychelles,Roll-on/ roll-off ship,..,..
Seychelles,Liquefied petroleum gas carriers,..,..
Seychelles,Liquefied natural gas carriers,..,..
Sierra Leone,All ships,324,1.05
Sierra Leone,Passenger ship,..,..
Sierra Leone,Wet bulk,43,1.03
Sierra Leone,Container ship,132,0.98
Sierra Leone,Dry breakbulk,45,1.04
Sierra Leone,Dry bulk,71,3.98
Sierra Leone,Roll-on/ roll-off ship,33,..
Sierra Leone,Liquefied petroleum gas carriers,..,..
Sierra Leone,Liquefied natural gas carriers,..,..
Singapore,All ships,61749,0.66
Singapore,Passenger ship,1037,..
Singapore,Wet bulk,36001,0.6
Singapore,Container ship,17146,0.77
Singapore,Dry breakbulk,2684,0.65
Singapore,Dry bulk,2731,0.12
Singapore,Roll-on/ roll-off ship,1436,..
Singapore,Liquefied petroleum gas carriers,560,1.12
Singapore,Liquefied natural gas carriers,154,2.22
Sint Maarten (Dutch part),All ships,1040,0.54
Sint Maarten (Dutch part),Passenger ship,500,..
Sint Maarten (Dutch part),Wet bulk,83,0.56
Sint Maarten (Dutch part),Container ship,159,0.64
Sint Maarten (Dutch part),Dry breakbulk,298,0.51
Sint Maarten (Dutch part),Dry bulk,..,..
Sint Maarten (Dutch part),Roll-on/ roll-off ship,..,..
Sint Maarten (Dutch part),Liquefied petroleum gas carriers,..,..
Sint Maarten (Dutch part),Liquefied natural gas carriers,..,..
Slovakia,All ships,226,..
Slovakia,Passenger ship,226,..
Slovakia,Wet bulk,..,..
Slovakia,Container ship,..,..
Slovakia,Dry breakbulk,..,..
Slovakia,Dry bulk,..,..
Slovakia,Roll-on/ roll-off ship,..,..
Slovakia,Liquefied petroleum gas carriers,..,..
Slovakia,Liquefied natural gas carriers,..,..
Slovenia,All ships,1680,1.17
Slovenia,Passenger ship,77,..
Slovenia,Wet bulk,163,1.65
Slovenia,Container ship,629,0.69
Slovenia,Dry breakbulk,338,1.98
Slovenia,Dry bulk,164,3.99
Slovenia,Roll-on/ roll-off ship,309,..
Slovenia,Liquefied petroleum gas carriers,..,..
Slovenia,Liquefied natural gas carriers,..,..
Solomon Islands,All ships,206,1.23
Solomon Islands,Passenger ship,..,..
Solomon Islands,Wet bulk,50,1.1
Solomon Islands,Container ship,75,1.11
Solomon Islands,Dry breakbulk,81,1.7
Solomon Islands,Dry bulk,..,..
Solomon Islands,Roll-on/ roll-off ship,..,..
Solomon Islands,Liquefied petroleum gas carriers,..,..
Solomon Islands,Liquefied natural gas carriers,..,..
Somalia,All ships,548,2.96
Somalia,Passenger ship,..,..
Somalia,Wet bulk,56,2.94
Somalia,Container ship,206,2.39
Somalia,Dry breakbulk,179,4.88
Somalia,Dry bulk,107,2.33
Somalia,Roll-on/ roll-off ship,..,..
Somalia,Liquefied petroleum gas carriers,..,..
Somalia,Liquefied natural gas carriers,..,..
South Africa,All ships,8510,1.92
South Africa,Passenger ship,154,..
South Africa,Wet bulk,1437,1.6
South Africa,Container ship,2151,1.64
South Africa,Dry breakbulk,836,2.26
South Africa,Dry bulk,3220,2.24
South Africa,Roll-on/ roll-off ship,576,..
South Africa,Liquefied petroleum gas carriers,136,1.36
South Africa,Liquefied natural gas carriers,..,..
Spain,All ships,139717,0.86
Spain,Passenger ship,80391,..
Spain,Wet bulk,14882,0.84
Spain,Container ship,14915,0.66
Spain,Dry breakbulk,13656,1.14
Spain,Dry bulk,3139,2.27
Spain,Roll-on/ roll-off ship,11088,..
Spain,Liquefied petroleum gas carriers,1400,0.96
Spain,Liquefied natural gas carriers,246,1.05
Sri Lanka,All ships,5862,0.97
Sri Lanka,Passenger ship,107,..
Sri Lanka,Wet bulk,986,2.22
Sri Lanka,Container ship,3736,0.85
Sri Lanka,Dry breakbulk,307,1.25
Sri Lanka,Dry bulk,338,3.22
Sri Lanka,Roll-on/ roll-off ship,251,..
Sri Lanka,Liquefied petroleum gas carriers,137,1.13
Sri Lanka,Liquefied natural gas carriers,..,..
Sudan,All ships,1071,2.78
Sudan,Passenger ship,135,..
Sudan,Wet bulk,203,1.52
Sudan,Container ship,182,4.31
Sudan,Dry breakbulk,187,1.71
Sudan,Dry bulk,112,11.25
Sudan,Roll-on/ roll-off ship,236,..
Sudan,Liquefied petroleum gas carriers,16,2.19
Sudan,Liquefied natural gas carriers,..,..
Suriname,All ships,863,1.05
Suriname,Passenger ship,..,..
Suriname,Wet bulk,176,1.51
Suriname,Container ship,155,1.02
Suriname,Dry breakbulk,419,1.26
Suriname,Dry bulk,113,1.36
Suriname,Roll-on/ roll-off ship,..,..
Suriname,Liquefied petroleum gas carriers,..,..
Suriname,Liquefied natural gas carriers,..,..
Sweden,All ships,79238,0.8
Sweden,Passenger ship,53777,..
Sweden,Wet bulk,7143,0.68
Sweden,Container ship,2161,0.63
Sweden,Dry breakbulk,10938,1.04
Sweden,Dry bulk,1443,0.51
Sweden,Roll-on/ roll-off ship,2928,..
Sweden,Liquefied petroleum gas carriers,741,0.82
Sweden,Liquefied natural gas carriers,107,0.61
"Switzerland, Liechtenstein",All ships,394,0.23
"Switzerland, Liechtenstein",Passenger ship,..,..
"Switzerland, Liechtenstein",Wet bulk,394,0.23
"Switzerland, Liechtenstein",Container ship,..,..
"Switzerland, Liechtenstein",Dry breakbulk,..,..
"Switzerland, Liechtenstein",Dry bulk,..,..
"Switzerland, Liechtenstein",Roll-on/ roll-off ship,..,..
"Switzerland, Liechtenstein",Liquefied petroleum gas carriers,..,..
"Switzerland, Liechtenstein",Liquefied natural gas carriers,..,..
Syrian Arab Republic,All ships,403,1.11
Syrian Arab Republic,Passenger ship,..,..
Syrian Arab Republic,Wet bulk,..,..
Syrian Arab Republic,Container ship,226,0.87
Syrian Arab Republic,Dry breakbulk,135,4.98
Syrian Arab Republic,Dry bulk,18,4.91
Syrian Arab Republic,Roll-on/ roll-off ship,24,..
Syrian Arab Republic,Liquefied petroleum gas carriers,..,..
Syrian Arab Republic,Liquefied natural gas carriers,..,..
Thailand,All ships,26511,0.78
Thailand,Passenger ship,305,..
Thailand,Wet bulk,11420,0.68
Thailand,Container ship,7874,0.79
Thailand,Dry breakbulk,3326,1.59
Thailand,Dry bulk,907,3.07
Thailand,Roll-on/ roll-off ship,692,..
Thailand,Liquefied petroleum gas carriers,1931,0.57
Thailand,Liquefied natural gas carriers,56,1.23
Timor-Leste,All ships,154,1
Timor-Leste,Passenger ship,..,..
Timor-Leste,Wet bulk,..,..
Timor-Leste,Container ship,..,..
Timor-Leste,Dry breakbulk,154,1
Timor-Leste,Dry bulk,..,..
Timor-Leste,Roll-on/ roll-off ship,..,..
Timor-Leste,Liquefied petroleum gas carriers,..,..
Timor-Leste,Liquefied natural gas carriers,..,..
Togo,All ships,1296,1.33
Togo,Passenger ship,..,..
Togo,Wet bulk,129,1.72
Togo,Container ship,756,1.17
Togo,Dry breakbulk,104,1.28
Togo,Dry bulk,127,3.33
Togo,Roll-on/ roll-off ship,180,..
Togo,Liquefied petroleum gas carriers,..,..
Togo,Liquefied natural gas carriers,..,..
Tonga,All ships,287,0.52
Tonga,Passenger ship,136,..
Tonga,Wet bulk,..,..
Tonga,Container ship,72,0.6
Tonga,Dry breakbulk,79,0.45
Tonga,Dry bulk,..,..
Tonga,Roll-on/ roll-off ship,..,..
Tonga,Liquefied petroleum gas carriers,..,..
Tonga,Liquefied natural gas carriers,..,..
Trinidad and Tobago,All ships,4619,1
Trinidad and Tobago,Passenger ship,1326,..
Trinidad and Tobago,Wet bulk,1237,1.01
Trinidad and Tobago,Container ship,688,0.62
Trinidad and Tobago,Dry breakbulk,682,0.8
Trinidad and Tobago,Dry bulk,113,2.48
Trinidad and Tobago,Roll-on/ roll-off ship,102,..
Trinidad and Tobago,Liquefied petroleum gas carriers,258,1.26
Trinidad and Tobago,Liquefied natural gas carriers,213,1.16
Tunisia,All ships,3891,2.41
Tunisia,Passenger ship,768,..
Tunisia,Wet bulk,400,1.63
Tunisia,Container ship,344,3.8
Tunisia,Dry breakbulk,1214,2.2
Tunisia,Dry bulk,303,6.45
Tunisia,Roll-on/ roll-off ship,755,..
Tunisia,Liquefied petroleum gas carriers,107,1.98
Tunisia,Liquefied natural gas carriers,..,..
Turkey,All ships,184169,1.19
Turkey,Passenger ship,136681,..
Turkey,Wet bulk,6873,1.11
Turkey,Container ship,10485,0.63
Turkey,Dry breakbulk,19404,1.52
Turkey,Dry bulk,3799,4
Turkey,Roll-on/ roll-off ship,6154,..
Turkey,Liquefied petroleum gas carriers,683,1.36
Turkey,Liquefied natural gas carriers,90,1.31
Turkmenistan,All ships,1720,1.21
Turkmenistan,Passenger ship,417,..
Turkmenistan,Wet bulk,892,1.13
Turkmenistan,Container ship,..,..
Turkmenistan,Dry breakbulk,194,2.61
Turkmenistan,Dry bulk,44,1.09
Turkmenistan,Roll-on/ roll-off ship,173,..
Turkmenistan,Liquefied petroleum gas carriers,..,..
Turkmenistan,Liquefied natural gas carriers,..,..
Turks and Caicos Islands,All ships,602,0.45
Turks and Caicos Islands,Passenger ship,332,..
Turks and Caicos Islands,Wet bulk,..,..
Turks and Caicos Islands,Container ship,..,..
Turks and Caicos Islands,Dry breakbulk,270,0.45
Turks and Caicos Islands,Dry bulk,..,..
Turks and Caicos Islands,Roll-on/ roll-off ship,..,..
Turks and Caicos Islands,Liquefied petroleum gas carriers,..,..
Turks and Caicos Islands,Liquefied natural gas carriers,..,..
Tuvalu,All ships,72,13.99
Tuvalu,Passenger ship,..,..
Tuvalu,Wet bulk,..,..
Tuvalu,Container ship,..,..
Tuvalu,Dry breakbulk,72,13.99
Tuvalu,Dry bulk,..,..
Tuvalu,Roll-on/ roll-off ship,..,..
Tuvalu,Liquefied petroleum gas carriers,..,..
Tuvalu,Liquefied natural gas carriers,..,..
Ukraine,All ships,19764,2.13
Ukraine,Passenger ship,9350,..
Ukraine,Wet bulk,627,2.21
Ukraine,Container ship,696,0.83
Ukraine,Dry breakbulk,4890,1.71
Ukraine,Dry bulk,2569,3.59
Ukraine,Roll-on/ roll-off ship,1432,..
Ukraine,Liquefied petroleum gas carriers,200,1.21
Ukraine,Liquefied natural gas carriers,..,..
United Arab Emirates,All ships,24150,1.1
United Arab Emirates,Passenger ship,2264,..
United Arab Emirates,Wet bulk,8049,1.06
United Arab Emirates,Container ship,7111,0.91
United Arab Emirates,Dry breakbulk,2468,1.06
United Arab Emirates,Dry bulk,2634,1.93
United Arab Emirates,Roll-on/ roll-off ship,1152,..
United Arab Emirates,Liquefied petroleum gas carriers,368,1.31
United Arab Emirates,Liquefied natural gas carriers,104,1.42
United Republic of Tanzania,All ships,1822,2.15
United Republic of Tanzania,Passenger ship,397,..
United Republic of Tanzania,Wet bulk,236,3.84
United Republic of Tanzania,Container ship,475,2.14
United Republic of Tanzania,Dry breakbulk,360,1.47
United Republic of Tanzania,Dry bulk,145,3.85
United Republic of Tanzania,Roll-on/ roll-off ship,209,..
United Republic of Tanzania,Liquefied petroleum gas carriers,..,..
United Republic of Tanzania,Liquefied natural gas carriers,..,..
Uruguay,All ships,4942,1.39
Uruguay,Passenger ship,3205,..
Uruguay,Wet bulk,215,1.27
Uruguay,Container ship,522,0.9
Uruguay,Dry breakbulk,481,1.62
Uruguay,Dry bulk,378,3.31
Uruguay,Roll-on/ roll-off ship,141,..
Uruguay,Liquefied petroleum gas carriers,..,..
Uruguay,Liquefied natural gas carriers,..,..
Vanuatu,All ships,273,0.85
Vanuatu,Passenger ship,142,..
Vanuatu,Wet bulk,..,..
Vanuatu,Container ship,93,0.93
Vanuatu,Dry breakbulk,38,0.68
Vanuatu,Dry bulk,..,..
Vanuatu,Roll-on/ roll-off ship,..,..
Vanuatu,Liquefied petroleum gas carriers,..,..
Vanuatu,Liquefied natural gas carriers,..,..
Venezuela (Bolivarian Rep. of),All ships,5251,2.25
Venezuela (Bolivarian Rep. of),Passenger ship,1257,..
Venezuela (Bolivarian Rep. of),Wet bulk,2375,2.38
Venezuela (Bolivarian Rep. of),Container ship,168,2.37
Venezuela (Bolivarian Rep. of),Dry breakbulk,436,1.88
Venezuela (Bolivarian Rep. of),Dry bulk,594,2.16
Venezuela (Bolivarian Rep. of),Roll-on/ roll-off ship,111,..
Venezuela (Bolivarian Rep. of),Liquefied petroleum gas carriers,310,1.53
Venezuela (Bolivarian Rep. of),Liquefied natural gas carriers,..,..
Viet Nam,All ships,7576,1.3
Viet Nam,Passenger ship,164,..
Viet Nam,Wet bulk,735,2.22
Viet Nam,Container ship,4391,0.97
Viet Nam,Dry breakbulk,1171,3.41
Viet Nam,Dry bulk,868,4.23
Viet Nam,Roll-on/ roll-off ship,..,..
Viet Nam,Liquefied petroleum gas carriers,247,1.84
Viet Nam,Liquefied natural gas carriers,..,..
Yemen,All ships,941,4.12
Yemen,Passenger ship,..,..
Yemen,Wet bulk,284,2.87
Yemen,Container ship,187,3.62
Yemen,Dry breakbulk,186,5.62
Yemen,Dry bulk,284,5.87
Yemen,Roll-on/ roll-off ship,..,..
Yemen,Liquefied petroleum gas carriers,..,..
Yemen,Liquefied natural gas carriers,..,..
Antarctica,All ships,12,..
Antarctica,Passenger ship,12,..
Antarctica,Wet bulk,..,..
Antarctica,Container ship,..,..
Antarctica,Dry breakbulk,..,..
Antarctica,Dry bulk,..,..
Antarctica,Roll-on/ roll-off ship,..,..
Antarctica,Liquefied petroleum gas carriers,..,..
Antarctica,Liquefied natural gas carriers,..,..
France,All ships,68739,1.11
France,Passenger ship,44062,..
France,Wet bulk,7830,1.06
France,Container ship,4640,0.75
France,Dry breakbulk,7300,1.5
France,Dry bulk,1580,3.14
France,Roll-on/ roll-off ship,1963,..
France,Liquefied petroleum gas carriers,1132,1.07
France,Liquefied natural gas carriers,232,1.2
Mayotte,All ships,135,2.22
Mayotte,Passenger ship,..,..
Mayotte,Wet bulk,..,..
Mayotte,Container ship,61,2.09
Mayotte,Dry breakbulk,74,2.42
Mayotte,Dry bulk,..,..
Mayotte,Roll-on/ roll-off ship,..,..
Mayotte,Liquefied petroleum gas carriers,..,..
Mayotte,Liquefied natural gas carriers,..,..
French Guiana,All ships,135,2.56
French Guiana,Passenger ship,..,..
French Guiana,Wet bulk,..,..
French Guiana,Container ship,65,3.53
French Guiana,Dry breakbulk,70,1.55
French Guiana,Dry bulk,..,..
French Guiana,Roll-on/ roll-off ship,..,..
French Guiana,Liquefied petroleum gas carriers,..,..
French Guiana,Liquefied natural gas carriers,..,..
Guadeloupe,All ships,1072,0.71
Guadeloupe,Passenger ship,233,..
Guadeloupe,Wet bulk,149,0.91
Guadeloupe,Container ship,235,0.7
Guadeloupe,Dry breakbulk,200,0.5
Guadeloupe,Dry bulk,32,2.98
Guadeloupe,Roll-on/ roll-off ship,223,..
Guadeloupe,Liquefied petroleum gas carriers,..,..
Guadeloupe,Liquefied natural gas carriers,..,..
Martinique,All ships,926,0.63
Martinique,Passenger ship,222,..
Martinique,Wet bulk,194,1.04
Martinique,Container ship,189,0.67
Martinique,Dry breakbulk,212,0.39
Martinique,Dry bulk,..,..
Martinique,Roll-on/ roll-off ship,109,..
Martinique,Liquefied petroleum gas carriers,..,..
Martinique,Liquefied natural gas carriers,..,..
Monaco,All ships,120,..
Monaco,Passenger ship,120,..
Monaco,Wet bulk,..,..
Monaco,Container ship,..,..
Monaco,Dry breakbulk,..,..
Monaco,Dry bulk,..,..
Monaco,Roll-on/ roll-off ship,..,..
Monaco,Liquefied petroleum gas carriers,..,..
Monaco,Liquefied natural gas carriers,..,..
R�union,All ships,578,1
R�union,Passenger ship,38,..
R�union,Wet bulk,33,2.54
R�union,Container ship,374,0.77
R�union,Dry breakbulk,60,1.5
R�union,Dry bulk,35,4.05
R�union,Roll-on/ roll-off ship,38,..
R�union,Liquefied petroleum gas carriers,..,..
R�union,Liquefied natural gas carriers,..,..
United Kingdom,All ships,193462,1.09
United Kingdom,Passenger ship,135259,..
United Kingdom,Wet bulk,12329,1.06
United Kingdom,Container ship,8355,0.73
United Kingdom ,Dry breakbulk,17646,1.46
United Kingdom ,Dry bulk,1800,2.73
United Kingdom,Roll-on/ roll-off ship,15870,..
United Kingdom,Liquefied petroleum gas carriers,2086,1.08
United Kingdom,Liquefied natural gas carriers,117,1.43
Guernsey,All ships,208,0.12
Guernsey,Passenger ship,..,..
Guernsey,Wet bulk,..,..
Guernsey,Container ship,..,..
Guernsey,Dry breakbulk,208,0.12
Guernsey,Dry bulk,..,..
Guernsey,Roll-on/ roll-off ship,..,..
Guernsey,Liquefied petroleum gas carriers,..,..
Guernsey,Liquefied natural gas carriers,..,..
Isle of Man,All ships,544,0.53
Isle of Man,Passenger ship,516,..
Isle of Man,Wet bulk,28,0.53
Isle of Man,Container ship,..,..
Isle of Man,Dry breakbulk,..,..
Isle of Man,Dry bulk,..,..
Isle of Man,Roll-on/ roll-off ship,..,..
Isle of Man,Liquefied petroleum gas carriers,..,..
Isle of Man,Liquefied natural gas carriers,..,..
United States of America ,All ships,280332,1.41
United States of America ,Passenger ship,207847,..
United States of America,Wet bulk,21248,1.64
United States of America,Container ship,19098,1
United States of America ,Dry breakbulk,7029,1.79
United States of America,Dry bulk,15640,1.84
United States of America ,Roll-on/ roll-off ship,7308,..
United States of America,Liquefied petroleum gas carriers,1718,2.03
United States of America,Liquefied natural gas carriers,444,1.28
Puerto Rico,All ships,2216,1.07
Puerto Rico,Passenger ship,689,..
Puerto Rico,Wet bulk,373,2.01
Puerto Rico,Container ship,389,1.03
Puerto Rico,Dry breakbulk,330,0.5
Puerto Rico,Dry bulk,70,2.19
Puerto Rico,Roll-on/ roll-off ship,295,..
Puerto Rico,Liquefied petroleum gas carriers,44,1.4
Puerto Rico,Liquefied natural gas carriers,26,1.3
United States Virgin Islands,All ships,1881,0.75
United States Virgin Islands,Passenger ship,479,..
United States Virgin Islands,Wet bulk,390,1.63
United States Virgin Islands,Container ship,330,0.63
United States Virgin Islands,Dry breakbulk,657,0.48
United States Virgin Islands,Dry bulk,..,..
United States Virgin Islands,Roll-on/ roll-off ship,..,..
United States Virgin Islands,Liquefied petroleum gas carriers,25,1.2
United States Virgin Islands,Liquefied natural gas carriers,..,..
